canonical_name,display_name,slug,longitude,latitude,site_type,country_code,short_description,source
Q839010,Q839010,q839010,-87.44194444,20.24063889,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Ka'Kabish,Ka'Kabish,kakabish,-88.72972,17.81611,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Kinal,Kinal,kinal,-89.24166667,17.7,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
La Blanca,La Blanca,la-blanca,-89.44222222,16.90361111,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Pusilha,Pusilha,pusilha,-89.19478,16.11294,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Tres Islas,Tres Islas,tres-islas,-90.05,16.2,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Nohmul,Nohmul,nohmul,-88.58475,18.21731,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Nohmul,Nohmul,nohmul,-88.584731,18.217356,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
San José Chactún,San José Chactún,san-josé-chactún,-90.00972222,20.52388889,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Santa Rita Corozal,Santa Rita Corozal,santa-rita-corozal,-88.395,18.40222222,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Santa Rita Corozal,Santa Rita Corozal,santa-rita-corozal,-88.39,18.41,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Yarumela,Yarumela,yarumela,-87.647633333,14.363705555,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Plaza of the Seven Temples,Plaza of the Seven Temples,plaza-of-the-seven-temples,-89.625775,17.21963056,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Pulltrouser Swamp,Pulltrouser Swamp,pulltrouser-swamp,-88.568590037,18.168853916,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Tayasal,Tayasal,tayasal,-89.892413,16.940251,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Xpuhil,Xpuhil,xpuhil,-89.40447222,18.51002778,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chactún,Chactún,chactún,-89.508055555,18.455,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
"North Acropolis, Tikal","North Acropolis, Tikal",north-acropolis-tikal,-89.6234,17.2227,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
"Pomona, Tabasco","Pomona, Tabasco",pomona-tabasco,-91.3413,17.2905,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Wajxaklajun,Wajxaklajun,wajxaklajun,-91.48333333,15.83333333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
