canonical_name,display_name,slug,longitude,latitude,site_type,country_code,short_description,source
Uxmal,Uxmal,uxmal,-89.76987742780008,20.36002218393676,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Cobá,Cobá,cobá,-87.73165892680358,20.48992661840853,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Tulúm,Tulúm,tulúm,-87.42850305445741,20.21513752477789,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Teotihuacan,Teotihuacan,teotihuacan,-98.85224179740588,19.68722544780635,archaeological_site,,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Oxkintok,Oxkintok,oxkintok,-89.95349230749406,20.562377964457,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Ek Balam,Ek Balam,ek-balam,-88.14864108937232,20.86272960188693,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Agua Blanca,Agua Blanca,agua-blanca,-92.51255399999998,17.537982,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
La Gloria,La Gloria,la-gloria,-92.350728,17.636059,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Cueva del Zopo,Cueva del Zopo,cueva-del-zopo,-92.43569300000001,17.590501,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Las Colmenas,Las Colmenas,las-colmenas,-92.282917,17.537185,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
El Retiro,El Retiro,el-retiro,-92.275295,17.521635,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Miraflores,Miraflores,miraflores,-92.256983,17.523859,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
El Retiro,El Retiro,el-retiro,-92.186,17.515502,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Santa Isabel,Santa Isabel,santa-isabel,-92.124909,17.484286,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
El Porvenir,El Porvenir,el-porvenir,-92.393403,17.406898,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Tilá,Tilá,tilá,-92.49168200000001,17.361124,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Cruz Tún,Cruz Tún,cruz-tún,-92.497839,17.344136,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Chuctiepá,Chuctiepá,chuctiepá,-92.213673,17.324653,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Naranjo,Naranjo,naranjo,-92.053862,17.447098,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Jolhá,Jolhá,jolhá,-92.040682,17.435941,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
San Manuel,San Manuel,san-manuel,-92.040682,17.428696,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Santa Cruz,Santa Cruz,santa-cruz,-92.016384,17.435941,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Nututun,Nututun,nututun,-92.002014,17.435941,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Dzulzum,Dzulzum,dzulzum,-92.01771399999998,17.442206,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Bascah,Bascah,bascah,-92.054432,17.378899,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Huxamachital,Huxamachital,huxamachital,-92.044947,17.334708,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Xupá,Xupá,xupá,-91.933246,17.391836,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Zona Sala,Zona Sala,zona-sala,-91.948878,17.40612,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Belizario Dominguez,Belizario Dominguez,belizario-dominguez,-91.92682799999999,17.654742,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Tamarindito,Tamarindito,tamarindito,-90.234722,16.451111,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Arroyo de Piedra,Arroyo de Piedra,arroyo-de-piedra,-90.276594,16.453573,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Aguateca,Aguateca,aguateca,-90.210615,16.389588,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Quim Chi Hilan,Quim Chi Hilan,quim-chi-hilan,-90.195877,16.411183,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Punta di Chimino,Punta di Chimino,punta-di-chimino,-90.191216,16.43163,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Bayak,Bayak,bayak,-90.204206,16.450689,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Battel,Battel,battel,-90.208323,16.450634,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
El Rey,El Rey,el-rey,-86.781589,21.060529,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
