canonical_name,display_name,slug,longitude,latitude,site_type,country_code,short_description,source
Conjunto L,Conjunto L,conjunto-l,-89.6312219,17.2202415,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Conjunto N,Conjunto N,conjunto-n,-89.6286144,17.2221391,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sweat House,Sweat House,sweat-house,-89.6216932,17.2218403,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Zona Arqueológica de Yaxchilán,Zona Arqueológica de Yaxchilán,zona-arqueológica-de-yaxchilán,-90.9676383,16.9014894,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Lynam Prison,Lynam Prison,lynam-prison,-88.3512596,16.976759,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sak Tunich,Sak Tunich,sak-tunich,-89.047929,17.1019751,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Uaxactún Grupo A,Uaxactún Grupo A,uaxactún-grupo-a,-89.6386276,17.3950487,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Uaxactún Grupo B,Uaxactún Grupo B,uaxactún-grupo-b,-89.6391074,17.3975568,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Uaxactún Grupo C,Uaxactún Grupo C,uaxactún-grupo-c,-89.6361798,17.4000679,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Uaxactún Grupo E,Uaxactún Grupo E,uaxactún-grupo-e,-89.6293955,17.3918535,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Uaxactún Grupo F,Uaxactún Grupo F,uaxactún-grupo-f,-89.6320278,17.387792,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Uaxactún Grupo D,Uaxactún Grupo D,uaxactún-grupo-d,-89.6320365,17.3923082,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Plaza 3 Waka Peru,Plaza 3 Waka Peru,plaza-3-waka-peru,-90.3571415,17.2674463,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Las minas de San Albino,Las minas de San Albino,las-minas-de-san-albino,-86.0972126,13.6948092,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Temple of Ixchel,Temple of Ixchel,temple-of-ixchel,-86.710859,21.202012,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Tayazal sitio arqueológico,Tayazal sitio arqueológico,tayazal-sitio-arqueológico,-89.8916622,16.9392088,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Complejo Puma,Complejo Puma,complejo-puma,-89.9069119,17.7542018,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Acrópolis central,Acrópolis central,acrópolis-central,-89.9181122,17.753097,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sanjol,Sanjol,sanjol,-89.9103338,17.7525031,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Gavillan,Gavillan,gavillan,-89.9090892,17.7538008,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico El Arenal,Sitio Arqueológico El Arenal,sitio-arqueológico-el-arenal,-91.566811,17.643091,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológicol Tiradero,Sitio Arqueológicol Tiradero,sitio-arqueológicol-tiradero,-91.1565347,17.7828188,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico de Piedras Negras,Sitio Arqueológico de Piedras Negras,sitio-arqueológico-de-piedras-negras,-91.2618411,17.1683877,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico Zapote Bobal,Sitio Arqueológico Zapote Bobal,sitio-arqueológico-zapote-bobal,-90.3003049,17.3075494,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico El Perú - Waka,Sitio Arqueológico El Perú - Waka,sitio-arqueológico-el-perú-waka,-90.3811404,17.2783463,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Yaxnohcah,Yaxnohcah,yaxnohcah,-89.7414749,17.9302319,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Complejo de Pirámides Gemelas N,Complejo de Pirámides Gemelas N,complejo-de-pirámides-gemelas-n,-89.6287382,17.2224973,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Campo de pelota,Campo de pelota,campo-de-pelota,-88.0485796,14.9449573,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Campo de pelota,Campo de pelota,campo-de-pelota,-88.0488012,14.9488476,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Zona Arqueológica Chakanbakán,Zona Arqueológica Chakanbakán,zona-arqueológica-chakanbakán,-89.0894715,18.4519813,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Cara Blanca Pools,Cara Blanca Pools,cara-blanca-pools,-88.854475,17.4198535,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Water Temple,Water Temple,water-temple,-88.8739348,17.4213501,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sweat Bath,Sweat Bath,sweat-bath,-88.8772862,17.4211951,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
M7,M7,m7,-88.9176908,17.409776,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
M11,M11,m11,-88.9202908,17.407618,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
M10,M10,m10,-88.9200678,17.4078822,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
M16,M16,m16,-88.9196831,17.408374,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
M22,M22,m22,-88.9183754,17.4092108,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
M27,M27,m27,-88.9176447,17.4095925,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
M28,M28,m28,-88.9179754,17.4092108,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
M29,M29,m29,-88.9180216,17.4089245,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
M21,M21,m21,-88.9187216,17.4085795,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Piramide Gucumatz,Piramide Gucumatz,piramide-gucumatz,-90.8104503,14.1494065,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico Q'umarkaj,Sitio Arqueológico Q'umarkaj,sitio-arqueológico-qumarkaj,-91.1719006,15.0234118,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Santa Rosa,Santa Rosa,santa-rosa,-89.1980276,16.2733014,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Ichkabal,Ichkabal,ichkabal,-88.6675535,18.685515,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
All Pines Village,All Pines Village,all-pines-village,-88.2942711,16.7904919,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico de Reforma,Sitio Arqueológico de Reforma,sitio-arqueológico-de-reforma,-91.2978861,17.7690184,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico Aguada Fénix,Sitio Arqueológico Aguada Fénix,sitio-arqueológico-aguada-fénix,-91.1411083,17.805317,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico Bella Vista,Sitio Arqueológico Bella Vista,sitio-arqueológico-bella-vista,-91.0937512,17.3207025,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico Nueva Esperanza,Sitio Arqueológico Nueva Esperanza,sitio-arqueológico-nueva-esperanza,-91.089524,17.3578067,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico La Pea,Sitio Arqueológico La Pea,sitio-arqueológico-la-pea,-91.3439047,17.6400959,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico La Tía,Sitio Arqueológico La Tía,sitio-arqueológico-la-tía,-91.2596136,17.9678543,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico Atotonilco,Sitio Arqueológico Atotonilco,sitio-arqueológico-atotonilco,-91.3055867,17.8685209,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico El Codo,Sitio Arqueológico El Codo,sitio-arqueológico-el-codo,-91.4111719,17.6284653,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico El Bilín III,Sitio Arqueológico El Bilín III,sitio-arqueológico-el-bilín-iii,-91.3700295,17.6221002,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico El Bilín I,Sitio Arqueológico El Bilín I,sitio-arqueológico-el-bilín-i,-91.3595527,17.6148758,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico Otilio Montaño,Sitio Arqueológico Otilio Montaño,sitio-arqueológico-otilio-montaño,-91.3608027,17.5673094,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico Genovevo de la O.,Sitio Arqueológico Genovevo de la O.,sitio-arqueológico-genovevo-de-la-o,-91.3665533,17.5587326,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico La Entrada,Sitio Arqueológico La Entrada,sitio-arqueológico-la-entrada,-91.3879842,17.5360587,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico El Faisán 1ra Sección,Sitio Arqueológico El Faisán 1ra Sección,sitio-arqueológico-el-faisán-1ra-sección,-91.4588481,17.4567366,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico Crisóforo Chiñas,Sitio Arqueológico Crisóforo Chiñas,sitio-arqueológico-crisóforo-chiñas,-91.4771354,17.4591264,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico El Cacho,Sitio Arqueológico El Cacho,sitio-arqueológico-el-cacho,-91.4353144,17.5015284,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico El Mool,Sitio Arqueológico El Mool,sitio-arqueológico-el-mool,-91.4128429,17.5052273,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico Josefa Ruiz,Sitio Arqueológico Josefa Ruiz,sitio-arqueológico-josefa-ruiz,-91.3603789,17.5289741,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico Santo Domingo,Sitio Arqueológico Santo Domingo,sitio-arqueológico-santo-domingo,-91.520673,17.8543318,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
